"salary","years_exp","sex","bank_loan"
1107,19,"Woman","No"
1267,10,"Woman","No"
896,19,"Woman","No"
1226,16,"Woman","No"
1207,19,"Woman","No"
967,21,"Man","No"
1267,22,"Woman","No"
1690,21,"Man","Yes"
1309,26,"Woman","No"
1316,24,"Woman","No"
1878,28,"Man","Yes"
1538,13,"Woman","No"
596,17,"Woman","No"
1267,12,"Man","No"
1538,23,"Man","Yes"
1753,16,"Woman","No"
1276,29,"Woman","No"
1065,27,"Woman","No"
1454,20,"Man","No"
1615,23,"Woman","No"
1182,18,"Woman","No"
1477,21,"Woman","No"
1752,27,"Man","Yes"
1658,17,"Woman","No"
989,26,"Woman","No"
1956,16,"Man","Yes"
1423,23,"Man","Yes"
1372,16,"Man","No"
1881,16,"Man","Yes"
1540,16,"Man","No"
1126,15,"Man","No"
1000,23,"Man","No"
1099,13,"Woman","No"
1255,25,"Woman","No"
1094,24,"Man","No"
970,18,"Man","No"
1845,14,"Man","No"
1170,16,"Man","No"
1358,17,"Woman","No"
1574,14,"Man","No"
1559,25,"Man","Yes"
1612,18,"Man","No"
1134,15,"Woman","No"
1223,23,"Man","No"
1888,20,"Woman","Yes"
1058,17,"Man","No"
1401,11,"Woman","No"
1547,21,"Man","Yes"
1534,15,"Man","No"
1545,27,"Woman","Yes"
1493,23,"Woman","No"
2357,13,"Woman","Yes"
1658,28,"Woman","Yes"
1460,16,"Woman","No"
1469,22,"Woman","No"
1260,20,"Man","No"
1544,31,"Man","Yes"
1404,8,"Woman","No"
1743,17,"Woman","No"
1528,16,"Woman","No"
2026,24,"Man","Yes"
1701,21,"Woman","No"
1461,17,"Man","No"
1352,13,"Woman","No"
1432,14,"Woman","No"
1838,20,"Man","Yes"
1358,23,"Man","No"
1205,21,"Man","No"
1507,17,"Man","No"
1587,14,"Woman","No"
1320,17,"Man","No"
1724,28,"Woman","Yes"
1195,18,"Woman","No"
1524,22,"Woman","No"
1702,25,"Man","Yes"
1679,22,"Man","Yes"
1292,18,"Woman","No"
1567,20,"Woman","No"
2055,17,"Man","Yes"
1335,21,"Man","No"
1407,29,"Woman","Yes"
875,22,"Man","No"
1798,16,"Man","Yes"
1222,15,"Woman","No"
1339,17,"Woman","No"
1225,15,"Woman","No"
862,23,"Man","No"
1818,25,"Man","Yes"
1576,18,"Woman","No"
1334,21,"Woman","No"
1431,27,"Man","Yes"
2066,11,"Woman","No"
1753,22,"Woman","Yes"
1497,15,"Man","No"
1226,14,"Man","No"
1668,14,"Man","No"
2016,22,"Man","Yes"
1493,17,"Woman","No"
1493,15,"Woman","No"
1634,15,"Woman","No"
1765,25,"Woman","Yes"
1334,22,"Man","No"
1674,24,"Man","Yes"
1575,28,"Man","Yes"
1451,18,"Man","No"
1010,28,"Woman","No"
1828,18,"Woman","No"
1279,18,"Woman","No"
1012,20,"Man","No"
1600,17,"Woman","No"
1688,16,"Woman","No"
1619,21,"Man","Yes"
1598,21,"Man","Yes"
1490,22,"Woman","No"
1620,15,"Woman","No"
1534,16,"Man","No"
2064,18,"Man","Yes"
1359,23,"Woman","No"
1403,12,"Man","No"
1170,22,"Woman","No"
948,18,"Woman","No"
1423,18,"Man","No"
1275,15,"Woman","No"
1307,17,"Woman","No"
1335,24,"Woman","No"
1617,22,"Woman","No"
1119,17,"Man","No"
1219,21,"Man","No"
844,22,"Woman","No"
1465,14,"Woman","No"
1538,19,"Man","No"
1463,22,"Man","Yes"
1437,15,"Man","No"
1451,7,"Man","No"
1802,14,"Man","No"
1596,27,"Man","Yes"
1401,18,"Man","No"
1596,20,"Man","Yes"
1832,18,"Woman","No"
1556,10,"Man","No"
1782,20,"Man","Yes"
1529,21,"Man","Yes"
1893,17,"Woman","No"
1582,20,"Man","Yes"
1054,17,"Woman","No"
1274,18,"Man","No"
1568,22,"Woman","No"
1594,23,"Woman","No"
1562,8,"Woman","No"
1019,20,"Man","No"
1442,16,"Man","No"
1123,19,"Man","No"
1914,13,"Woman","No"
1596,11,"Woman","No"
1700,21,"Woman","No"
1746,15,"Man","No"
